title,genre,premiere,runtime,imdb_score,language,year
Nobody Knows I'm Here,Drama,2020-06-24,91.0,6.5,Spanish,2020
Nobody Speak: Trials of the Free Press,Documentary,2017-06-23,95.0,6.5,English,2017
Oxygen,Science fiction thriller,2021-05-12,101.0,6.5,French,2021
Set It Up,Romantic comedy,2018-06-15,105.0,6.5,English,2018
The Incredible Jessica James,Comedy,2017-07-28,83.0,6.5,English,2017
Tigertail,Drama,2020-04-10,91.0,6.5,English/Taiwanese/Mandarin,2020
Tramps,Romance,2017-04-21,83.0,6.5,English,2017
What Did Jack Do?,Drama / Short,2020-01-20,17.0,6.5,English,2020
Bad Trip,Hidden-camera prank comedy,2021-03-26,86.0,6.6,English,2021
Bird Box,Psychological thriller,2018-12-21,124.0,6.6,English,2018
Bulbbul,Horror,2020-06-24,94.0,6.6,Hindi,2020
Crazy About Her,Romantic comedy,2021-02-26,102.0,6.6,Spanish,2021
Elisa & Marcela,Romance,2019-06-07,118.0,6.6,Spanish,2019
I'll Sleep When I'm Dead,Documentary,2016-08-19,79.0,6.6,English,2016
I'm Thinking of Ending Things,Psychological thriller,2020-09-04,134.0,6.6,English,2020
It Takes a Lunatic,Documentary,2019-10-25,126.0,6.6,English,2019
Milestone,Drama,2021-05-07,98.0,6.6,Hindi,2021
Recovery Boys,Documentary,2018-06-29,89.0,6.6,English,2018
ReMastered: Who Killed Jam Master Jay?,Documentary,2018-12-07,58.0,6.6,English,2018
Shawn Mendes: In Wonder,Documentary,2020-11-23,83.0,6.6,English,2020
Space Sweepers,Science fiction,2021-02-05,136.0,6.6,Korean,2021
The American Meme,Documentary,2018-12-07,98.0,6.6,English,2018
The Angel,Spy thriller,2018-09-14,114.0,6.6,English,2018
The Crimes That Bind,Crime drama,2020-08-20,99.0,6.6,Spanish,2020
The Red Sea Diving Resort,Spy thriller,2019-07-31,130.0,6.6,English,2019
What Would Sophia Loren Do?,Documentary,2021-01-15,32.0,6.6,English,2021
A Whisker Away,Anime/Fantasy,2020-06-18,104.0,6.7,Japanese,2020
Ajeeb Daastaans,Drama,2021-04-16,142.0,6.7,Hindi,2021
Arlo the Alligator Boy,Animated musical comedy,2021-04-16,92.0,6.7,English,2021
"Bikram: Yogi, Guru, Predator",Documentary,2019-11-20,86.0,6.7,English,2019
Blame!,Anime/Science fiction,2017-05-20,106.0,6.7,Japanese,2017
Blue Miracle,Drama,2021-05-27,95.0,6.7,English,2021
CounterPunch ,Documentary,2017-06-16,91.0,6.7,English,2017
"Crack: Cocaine, Corruption & Conspiracy",Documentary,2021-01-11,89.0,6.7,English,2021
Extraction,Action,2020-04-24,117.0,6.7,English,2020
Giving Voice,Documentary,2020-12-11,90.0,6.7,English,2020
Hillbilly Elegy,Drama,2020-11-24,117.0,6.7,English,2020
Hope Frozen: A Quest to Live Twice,Documentary,2020-09-15,80.0,6.7,Thia/English,2020
Imperial Dreams,Drama,2017-02-03,87.0,6.7,English,2017
Just Another Christmas,Comedy,2020-12-03,101.0,6.7,Portuguese,2020
Little Miss Sumo,Documentary,2019-10-28,19.0,6.7,Japanese,2019
Malcolm & Marie,Romantic drama,2021-02-05,106.0,6.7,English,2021
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,2017-02-07,54.0,6.7,English,2017
Moxie,Drama,2021-03-03,111.0,6.7,English,2021
Night in Paradise,Drama,2021-04-09,132.0,6.7,Korean,2021
Paper Lives,Drama,2021-03-12,97.0,6.7,Turkish,2021
Parchis: The Documentary,Documentary,2019-07-10,106.0,6.7,Spanish,2019
